ID,Handle,Command,Title,Variant ID,Variant Command,Variant SKU,Variant Inventory Policy,Metafield: custom.back_in_stock_date [date],Metafield: custom.back_in_stock [single_line_text_field],Tags,Tags Command
7179777507464,gogo300-b,MERGE,Funtasma Gogo 300,41040372891784,MERGE,GOGO300/B 35 (US-5),continue,,,,
7179777507464,gogo300-b,MERGE,Funtasma Gogo 300,41040372924552,MERGE,GOGO300/B 36 (US-6),continue,,,,
7179777507464,gogo300-b,MERGE,Funtasma Gogo 300,41040372957320,MERGE,GOGO300/B 37 (US-7),continue,,,,
7179777507464,gogo300-b,MERGE,Funtasma Gogo 300,41040372990088,MERGE,GOGO300/B 38 (US-8),continue,,,,
7179777507464,gogo300-b,MERGE,Funtasma Gogo 300,41040373022856,MERGE,GOGO300/B 39 (US-9),continue,,,,
7179777507464,gogo300-b,MERGE,Funtasma Gogo 300,41040373055624,MERGE,GOGO300/B 40 (US-10),continue,,,,
7179777507464,gogo300-b,MERGE,Funtasma Gogo 300,41040373088392,MERGE,GOGO300/B 41 (US-11),continue,,,,
7179777507464,gogo300-b,MERGE,Funtasma Gogo 300,41040373121160,MERGE,GOGO300/B 42/43 (US-12),continue,,,,
7179777507464,gogo300-b,MERGE,Funtasma Gogo 300,41040373153928,MERGE,GOGO300/B 44 (US-13),continue,,,,
7179777507464,gogo300-b,MERGE,Funtasma Gogo 300,41040373186696,MERGE,GOGO300/B 45 (US-14),continue,,,,
7179777507464,gogo300-b,MERGE,Funtasma Gogo 300,41040373219464,MERGE,GOGO300/B 46 (US-15),continue,,,,
7179777507464,gogo300-b,MERGE,Funtasma Gogo 300,41040373252232,MERGE,GOGO300/B 47/48 (US-16),continue,,,,
7179818401928,ran302-b-pu,MERGE,DemoniaCult Ranger 302,41040456024200,MERGE,RAN302/B/PU 36 (US-4) UNISEX,continue,2026-10-12,12.10.2026-checken,,
